food,emissions,price,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
Tofu,0.003,0.0012900000000000001,100,0.85,0.042,0.0069999999999999,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,1.49,0.0,0.0169,0.0,0.0,0.0,0.0,0.0,0.0,0.1092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0097,0.009,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0419,0.0070999999999999,0.0097,0.0250999999999999,0.0,0.0,0.0105,0.0,0.0,0.8287
Soybean Oil,0.0059999999999999,0.0014399999999999999,100,7.63,1.0,0.15,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0818,0.0818,1.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.15005,0.10977,0.4531799999999999,0.0,0.0,0.0,0.0,0.0,0.0
Palm Oil,0.0076,0.01727,100,8.84,1.0,0.49,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1594,0.1594,0.08,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.493,0.37,0.093,0.0,0.0,0.0,0.0,0.0,0.0
Sunflower Oil,0.0035,0.00684,100,8.84,1.0,0.08,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1484,0.1484,0.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08026,0.58537,0.29113,0.0,0.0,0.0,0.0,0.0,0.0
Rapeseed Oil,0.0037,0.00526,100,8.84,1.0,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.288,0.288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.096,0.161,0.6990000000000001,0.0,0.0,0.0,0.0,0.0,0.0
Olive Oil,0.006,0.011779999999999999,100,8.84,1.0,0.14,0.0,0.02,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1435,0.1435,0.602,0.01,0.0,0.0056,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.13808,0.72961,0.1052299999999999,0.0,0.0,0.0,0.0,0.0,0.0
Tomatoes,0.0014,0.00431,100,0.16,0.002,0.0,0.0,0.42,0.0,0.29,0.0,0.0059299999999999,0.0018599999999999,0.00034,0.00046,14.96,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.16,0.0,0.0,0.0,0.0,0.05,0.00062,0.0046999999999999,0.08,0.0008799999999999,0.29,2.12,0.004,0.0014,0.0116,0.00033,0.00029,0.00161,0.00015,0.0042699999999999,0.00029,0.0001799999999999,0.0,0.00027,0.00042,0.00042,0.0001,0.0003,0.0002199999999999,0.00031,0.00029,8e-05,0.0002,0.0003,0.0318,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019,0.00025,0.00028,0.0007599999999999,0.0,0.0,0.0069,0.0,0.0,0.9478
Onions & Leeks,0.0003,0.0024500000000000004,100,0.29,0.001,0.0,0.0,0.12,0.0,0.17,0.0,0.00151,0.0010199999999999,0.00027,0.0003,0.35,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.00075,0.033,0.0,0.0,0.0,0.0,0.17,0.0001899999999999,0.0033,0.07,0.00074,0.22,1.24,0.004,0.0007,0.0079,0.0002199999999999,0.00106,0.00043,0.00014,0.00127,0.00033,0.00013,0.0,0.00028,0.00028,0.0003799999999999,7.000000000000001e-05,0.0002,0.00025,0.00023,0.0001899999999999,0.0001099999999999,0.0002,0.0001799999999999,0.0682,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.00017,0.00014,0.00039,0.0,0.0,0.003,0.0,0.0,0.9199
Turnips,0.0003,0.00195,100,0.28,0.001,0.0,0.0,0.67,0.111,0.15,0.0,0.004,0.002,0.0003,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.21,0.0,0.0003,0.0003,0.001,0.3,0.00085,0.003,0.11,0.00134,0.27,1.91,0.0069999999999999,0.0027,0.009,0.00035,0.00024,0.00063,5e-05,0.0013,0.00025,0.00014,0.0,0.0003599999999999,0.00033,0.0003599999999999,0.0001099999999999,0.00017,0.00026,0.00029,0.00025,8.999999999999999e-05,0.00013,0.0003,0.0643,0.018,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0001099999999999,6e-05,0.00053,0.0,0.0,0.0069999999999999,0.0,0.0,0.9187
Cabbage,0.0004,0.0014199999999999998,100,0.12,0.002,0.0,0.0,0.11,0.0,0.43,0.0,0.00466,0.00035,0.00025,5e-05,2.63,0.13,0.49,1.33,0.0,0.0,0.0,0.0,0.00037,0.032,0.0,0.0,0.0,0.0,0.29,0.00096,0.0074,0.08,0.00203,0.19,0.87,0.004,0.0014,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.9633
Other Vegetables,0.0005,0.00218,100,0.72,0.005,0.001,0.0,0.47,0.0,0.29,0.0,0.01252,0.00163,0.00085,0.00122,50.78,2.54,0.0,0.0,0.0,0.0,0.0,0.0,0.00096,0.104,0.0,0.0,0.0,0.0,0.25,0.0009299999999999,0.0095,0.24,0.00244,0.59,2.12,0.004,0.0045,0.0333,0.0014299999999999,0.00225,0.0035299999999999,0.0003,0.00455,0.00121,0.00085,0.0,0.00162,0.00221,0.00198,0.0004,0.00139,0.00082,0.00158,0.00133,0.00034,0.00086,0.0017399999999999,0.1347,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,0.00098,0.00031,0.0023499999999999,0.0,0.0,0.006,0.0,0.0,0.8208
Mandarin Orange,0.0003,0.00146,100,0.53,0.003,0.0,0.0,0.02,0.102,0.16,0.0,0.00376,0.00216,0.0003599999999999,0.00058,6.81,0.34,1.01,1.55,4.07,1.38,0.0,0.0,0.00078,0.267,0.0,0.002,0.002,0.0,0.37,0.00042,0.0015,0.12,0.00039,0.2,1.66,0.001,0.0007,0.0081,0.00028,0.00068,0.00129,2e-05,0.00061,0.0001899999999999,0.0001099999999999,0.0,0.00017,0.00028,0.00032,2e-05,0.0001799999999999,0.00074,0.00033,0.00016,2e-05,0.00015,0.00021,0.1334,0.018,0.1058,0.024,0.0,0.0213,0.0,0.0,0.0605,0.0031,0.00039,0.0006,0.00065,0.0,0.0,0.0038,0.0,0.0,0.8517
Bananas,0.0007999999999999,0.00148,100,0.89,0.003,0.001,0.0,0.01,0.098,0.2,0.0,0.00665,0.00334,0.00073,0.00031,0.64,0.03,0.25,0.26,0.0,0.22,0.0,0.0,0.00367,0.087,0.0,0.001,0.001,0.005,0.05,0.00078,0.0026,0.27,0.0027,0.22,3.58,0.01,0.0015,0.0109,0.0004,0.00049,0.00124,8.999999999999999e-05,0.0015199999999999,0.0003799999999999,0.00077,0.0,0.00028,0.00068,0.0005,8e-05,0.00049,0.00028,0.0004,0.00028,8.999999999999999e-05,8.999999999999999e-05,0.00047,0.2284,0.026,0.1223,0.0484999999999999,0.0,0.0498,0.0,0.0001,0.0239,0.0033,0.00112,0.00032,0.00073,0.0,0.0,0.0081999999999999,0.0,0.0,0.7491
Apples,0.0003,0.00492,100,0.25,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0003,0.0002,3.39,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.223,0.0,0.0,0.0,0.0,0.29,0.00016,0.0007,0.05,0.00029,0.08,1.23,0.0,0.0006,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.93
Berries & Grapes,0.0011,0.00425,100,0.67,0.004,0.001,0.0,0.02,0.0559999999999999,0.04,0.0,0.003,0.00024,0.00057,0.00092,1.0,0.05,0.01,0.59,0.0,0.72,0.0,0.0,0.0011,0.04,0.0,0.0019,0.0019,0.146,0.14,0.0004,0.0029,0.05,0.00718,0.1,1.91,0.001,0.0004,0.0063,0.00026,0.00046,0.00077,0.0001,0.00131,0.0001899999999999,0.00023,0.0,5e-05,0.00013,0.00014,0.00021,0.00013,0.00021,0.0003,0.00017,3e-05,0.0001099999999999,0.00017,0.1714999999999999,0.009,0.1625,0.0,0.0,0.0,0.0,0.0,0.0,0.0034999999999999,0.00114,0.00014,0.0010199999999999,0.0,0.0,0.0056999999999999,0.0,0.0,0.813
Wine,0.0014,0.00872,100,0.49,0.0,0.0,0.0,0.07,0.05,0.01,0.0,0.001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.09,0.0001099999999999,0.004,0.1,0.0,0.15,0.88,0.002,0.0008,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0116999999999999,0.0,0.0115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064,0.0013,0.0,0.0,0.9223
Melon,0.0007,0.00092,100,0.34,0.002,0.001,0.0,0.16,0.076,0.21,0.0,0.00734,0.00105,0.0001899999999999,0.00041,33.82,1.69,0.16,20.2,0.01,0.26,0.0,0.0,0.0007199999999999,0.367,0.0,0.0005,0.0005,0.025,0.09,0.00041,0.0021,0.12,0.00041,0.15,2.67,0.004,0.0018,0.0084,0.00095,0.00029,0.00136,2e-05,0.00209,0.00026,0.00015,0.0,0.00021,0.00029,0.0003,0.00012,0.00023,0.0001899999999999,0.00042,0.00017,2e-05,0.00014,0.00033,0.0816,0.009,0.0786,0.0187,0.0006,0.0154,0.0,0.0004,0.0435,0.0019,0.0005099999999999,3e-05,0.00081,0.0,0.0,0.0065,0.0,0.0,0.9015
Coffee,0.0165,0.00729,100,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.008,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,5e-05,0.0002,0.04,0.00032,0.03,0.5,0.0,0.0002,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9947
Dark Chocolate,0.0186999999999999,0.00973,100,5.56,0.32,0.0,0.05,0.06,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0002,0.0213,0.31,0.0,0.51,5.02,0.003,0.0001,0.0554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6049,0.065,0.4756,0.0,0.0,0.0,0.0,0.0,0.0,0.324,0.0,0.0513999999999999,0.0044,0.05,0.0,0.0067,0.0,0.0,0.009
Beef (beef herd),0.0596,0.01593,100,1.98,0.13,0.053,0.62,0.68,0.674,0.06,0.0,0.0481799999999999,0.0057599999999999,0.00154,0.00049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0197,0.0035499999999999,0.0,0.0,0.0034999999999999,0.0034999999999999,0.011,0.12,0.00063,0.0199,0.19,0.0001,1.75,2.89,0.142,0.0455,0.1942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1273,0.05335,0.048,0.00532,0.62,0.0,0.0171,0.0,0.0,0.6713
Beef (dairy herd),0.0211,0.01593,100,1.98,0.13,0.053,0.62,0.68,0.674,0.06,0.0,0.0481799999999999,0.0057599999999999,0.00154,0.00049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0197,0.0035499999999999,0.0,0.0,0.0034999999999999,0.0034999999999999,0.011,0.12,0.00063,0.0199,0.19,0.0001,1.75,2.89,0.142,0.0455,0.1942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1273,0.05335,0.048,0.00532,0.62,0.0,0.0171,0.0,0.0,0.6713
Lamb & Mutton,0.0245,0.009089999999999999,100,2.83,0.2,0.081,0.97,0.81,0.934,0.19,0.0,0.067,0.0066,0.0025,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0260999999999999,0.0014,0.0,0.02,0.0014,0.0014,0.053,0.22,0.00128,0.0179,0.24,0.00024,2.01,3.39,0.2769999999999999,0.0467,0.2475,0.0148799999999999,0.0147,0.02178,0.00295,0.03591,0.01209,0.00784,0.0,0.01194,0.01925,0.02186,0.00635,0.01008,0.01038,0.0092,0.0105899999999999,0.0028899999999999,0.00832,0.0133499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1964999999999999,0.0812,0.0832,0.0139999999999999,0.97,0.0,0.0113999999999999,0.0,0.0,0.5509000000000001
